MQ Debug Scenes
Number  Start     Size      Name
0x0000  01FC2000  0000DA20  ydan_scene
0x0001  0203A000  00015140  ddan_scene
0x0002  020E0000  000157E0  bdan_scene
0x0003  02149000  00015F90  Bmori1_scene
0x0004  02213000  0001A7D0  HIDAN_scene
0x0005  0230B000  00015C30  MIZUsin_scene
0x0006  023DC000  00019B20  jyasinzou_scene
0x0007  024EA000  000183C0  HAKAdan_scene
0x0008  0258E000  0000C590  HAKAdanCH_scene
0x0009  025CC000  000116C0  ice_doukutu_scene
0x000A  03130000  000107B0  ganon_scene
0x000B  02635000  000114C0  men_scene
0x000C  0340B000  0000D920  gerudoway_scene
0x000D  026A4000  000217D0  ganontika_scene
0x000E  03505000  00007F10  ganon_sonogo_scene
3515000 to 351CFFF= mest up in ZELOOTMA (can be fixed)
0x000F  0358C000  00004B00  ganontikasonogo_scene
0x0010  034E1000  000071B0  takaraya_scene
0x0011  03101000  00001740  ydan_boss_scene
0x0012  030F5000  00002860  ddan_boss_scene
0x0013  02EFD000  00000E40  bdan_boss_scene
0x0014  02C74000  00001900  moribossroom_scene
0x0015  02F08000  00004C00  FIRE_bs_scene
0x0016  0311D000  00001A60  MIZUsin_bs_scene
0x0017  031A4000  00008CF0  jyasinboss_scene
0x0018  03111000  00002780  HAKAdan_bs_scene
0x0019  03196000  00007C20  ganon_boss_scene
0x001A  03234000  00012180  ganon_final_scene
0x001B  02C4D000  000003E0  entra_scene
0x001C  02D9D000  00000430  entra_n_scene
0x001D  02DC4000  000003E0  enrui_scene
0x001E  02D07000  00001250  market_alley_scene
0x001F  02DEB000  000012F0  market_alley_n_scene
0x0020  02AE4000  00002670  market_day_scene
0x0021  02AED000  00002630  market_night_scene
0x0022  02D98000  00001630  market_ruins_scene
0x0023  032DD000  000014E0  shrine_scene
0x0024  0334C000  00001500  shrine_n_scene
0x0025  033A1000  00001490  shrine_r_scene
0x0026  02BBC000  00000CC0  kokiri_home_scene
0x0027  02E68000  000017A0  kokiri_home3_scene
0x0028  031C6000  00001AB0  kokiri_home4_scene
0x0029  03201000  00001410  kokiri_home5_scene
0x002A  02ED1000  00000EA0  kakariko_scene
0x002B  03254000  00000840  kakariko3_scene
0x002C  02C9F000  000002F0  shop1_scene
0x002D  02B8A000  00000980  kokiri_shop_scene
0x002E  02F7F000  000003A0  golon_scene
0x002F  02FA7000  00000390  zoora_scene
0x0030  02FCF000  000003F0  drag_scene
0x0031  02FFC000  000005B0  alley_shop_scene
0x0032  03024000  00000670  night_shop_scene
0x0033  0354B000  00000370  face_shop_scene
0x0034  02B60000  00001B60  link_home_scene
0x0035  0304E000  00000D10  impa_scene
0x0036  02EA1000  00000670  malon_stable_scene
0x0037  03076000  00000EF0  labo_scene
0x0038  0347F000  00011090  hylia_labo_scene
0x0039  030A4000  00000680  tent_scene
0x003A  02F19000  00000510  hut_scene
0x003B  02F44000  0000E000  daiyousei_izumi_scene
0x003C  02F5F000  00008810  yousei_izumi_tate_scene
0x003D  02F6D000  0000CDA0  yousei_izumi_yoko_scene
0x003E  02BE9000  0000D820  kakusiana_scene
0x003F  02F56000  00000A90  hakaana_scene
0x0040  033F6000  0000D090  hakaana2_scene
0x0041  03463000  00004AE0  hakaana_ouke_scene
0x0042  02C8A000  0000C2C0  syatekijyou_scene
0x0043  02B24000  000127A0  tokinoma_scene
0x0044  02B0C000  000038F0  kenjyanoma_scene
0x0045  02CCA000  00011390  hairal_niwa_scene
0x0046  0343F000  000090F0  hairal_niwa_n_scene
0x0047  02E63000  00003D50  hiral_demo_scene
0x0048  0329B000  0000E270  hakasitarelay_scene
0x0049  03332000  000126E0  turibori_scene
0x004A  030D9000  00003A20  nakaniwa_scene
0x004B  0344D000  0000EB20  bowling_scene
0x004C  03499000  00006C10  souko_scene
0x004D  034BE000  0000C550  miharigoya_scene
0x004E  034CF000  0000AA20  mahouya_scene
0x004F  03535000  00009070  ganon_demo_scene
0x0050  0357B000  00001610  kinsuta_scene
0x0051  027D6000  0002A220  spot00_scene
0x0052  02817000  0001C150  spot01_scene
0x0053  0283E000  0000BC80  spot02_scene
0x0054  0286B000  0000B560  spot03_scene
0x0055  0288D000  00011240  spot04_scene
0x0056  028CA000  00014D60  spot05_scene
0x0057  028E9000  0001B430  spot06_scene
0x0058  02910000  00009820  spot07_scene
0x0059  0292E000  000116A0  spot08_scene
0x005A  02949000  00011160  spot09_scene
0x005B  02964000  00010430  spot10_scene
0x005C  029A4000  000194E0  spot11_scene
0x005D  029CB000  0000FE80  spot12_scene
0x005E  029FA000  00005E30  spot13_scene
0x005F  02A14000  00018500  spot15_scene
0x0060  02A3B000  0001EA90  spot16_scene
0x0061  02A65000  0000FEE0  spot17_scene
0x0062  02A8F000  0000A450  spot18_scene
0x0063  02D7F000  00011E20  spot20_scene
0x0064  02CE7000  00004B70  ganon_tou_scene
0x0065  035B3000  00003E20  test01_scene
0x0066  03544000  000004B0  besitu_scene
Scene crashes in Zelootma. Edit 3544059 from 51 to 54 and 354405F from B0 to E0
0x0067  027AF000  00000300  depth_test_scene
Depth test 27B06F0-27B204F is deleted for Zelootma I think. Theres no fix for this scene atm for Zelootma
0x0068  02793000  00001C00  syotes_scene
0x0069  027A2000  000024B0  syotes2_scene
0x006A  02B57000  00000BB0  sutaru_scene
0x006B  03280000  00002D10  hairal_niwa2_scene
0x006C  02D00000  00002B20  sasatest_scene

2794FA0-279725F
